Player,Team,OPP,At Bats,Runs,Hits,Total Bases,2B,3B,Home Runs,RunsBattedIn,Bases on Balls,Intentional Walks,StrikeOut,StolenBases,CaughtStealing,AVG,On-Base Percentage,Slugging Percentage,HitByPitch,sacrifice bunt,Sacrifice Flies,
Shohei Ohtani,8-May,vs MIA,4,0,0,0,0,0,0,0,0,0,2,0,0,0.355,0.425,0.678,0,0,0,
Shohei Ohtani,10-May,@ SD,4,0,2,3,1,0,0,0,0,0,1,0,0,0.359,0.427,0.679,0,0,0,
Shohei Ohtani,11-May,@ SD,3,1,0,0,0,0,0,0,1,0,0,0,0,0.352,0.423,0.667,0,0,0,
Shohei Ohtani,13-May,@ SF,5,0,2,2,0,0,0,1,0,0,2,1,0,0.354,0.422,0.659,0,0,0,
Shohei Ohtani,14-May,@ SF,5,1,3,7,1,0,1,2,0,0,0,0,0,0.361,0.427,0.68,0,0,0,
Shohei Ohtani,15-May,@ SF,4,0,2,2,0,0,0,0,1,0,2,0,0,0.364,0.431,0.676,0,0,0,
Shohei Ohtani,16-May,vs CIN,2,0,0,0,0,0,0,0,1,0,1,1,0,0.36,0.43,0.669,0,0,0,
Shohei Ohtani,17-May,vs CIN,4,2,1,4,0,0,1,2,0,0,1,0,0,0.358,0.426,0.676,0,0,0,
Shohei Ohtani,18-May,vs CIN,4,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.418,0.661,0,0,0,
Shohei Ohtani,19-May,vs CIN,4,0,2,2,0,0,0,1,0,0,1,0,0,0.353,0.423,0.658,1,0,0,
Shohei Ohtani,20-May,vs AZ,3,1,0,0,0,0,0,0,1,0,0,0,0,0.347,0.419,0.647,0,0,0,
Shohei Ohtani,21-May,vs AZ,4,2,2,3,1,0,0,1,0,0,1,2,0,0.351,0.421,0.649,0,0,0,
Shohei Ohtani,22-May,vs AZ,4,0,1,1,0,0,0,0,0,0,0,0,0,0.348,0.418,0.641,0,0,0,
Shohei Ohtani,24-May,@ CIN,5,0,0,0,0,0,0,1,0,0,0,0,0,0.34,0.409,0.626,0,0,0,
Shohei Ohtani,25-May,@ CIN,4,0,1,3,0,1,0,0,0,0,3,0,0,0.338,0.406,0.628,0,0,0,
Shohei Ohtani,26-May,@ CIN,4,1,1,1,0,0,0,0,0,0,1,0,0,0.336,0.403,0.621,0,0,0,
Shohei Ohtani,28-May,@ NYM,5,0,0,0,0,0,0,0,0,0,2,0,0,0.329,0.395,0.606,0,0,0,
Shohei Ohtani,29-May,@ NYM,5,1,2,5,0,0,1,3,0,0,1,0,0,0.33,0.395,0.615,0,0,0,
Shohei Ohtani,31-May,vs COL,3,0,0,0,0,0,0,0,1,0,1,0,0,0.326,0.393,0.607,0,0,0,
Freddie Freeman,1-May,@ AZ,4,1,0,0,0,0,0,0,1,0,1,0,0,0.292,0.416,0.417,0,0,0,
Freddie Freeman,3-May,vs ATL,5,0,1,2,1,0,0,0,0,0,2,0,0,0.288,0.409,0.416,0,0,0,
Freddie Freeman,4-May,vs ATL,5,0,3,5,0,1,0,1,0,0,0,0,0,0.3,0.415,0.438,0,0,0,
Freddie Freeman,5-May,vs ATL,3,1,0,0,0,0,0,0,0,0,0,0,0,0.293,0.411,0.429,1,0,0,
Freddie Freeman,6-May,vs MIA,4,1,1,4,0,0,1,1,0,0,0,0,0,0.292,0.407,0.445,0,0,0,
Freddie Freeman,7-May,vs MIA,3,1,1,1,0,0,0,0,0,0,0,0,0,0.293,0.409,0.443,1,0,0,
Freddie Freeman,8-May,vs MIA,3,2,2,3,1,0,0,0,0,0,0,0,0,0.301,0.414,0.455,0,0,0,
Freddie Freeman,10-May,@ SD,3,0,1,1,0,0,0,1,0,0,2,0,0,0.301,0.41,0.452,0,0,1,
Freddie Freeman,11-May,@ SD,3,1,2,6,1,0,1,1,1,1,0,0,0,0.309,0.418,0.483,0,0,0,
Freddie Freeman,12-May,@ SD,4,0,0,0,0,0,0,0,0,0,2,0,0,0.301,0.409,0.471,0,0,0,
Freddie Freeman,13-May,@ SF,4,1,0,0,0,0,0,0,1,0,0,0,0,0.293,0.403,0.459,0,0,0,
Freddie Freeman,14-May,@ SF,4,2,1,1,0,0,0,1,1,0,2,0,0,0.292,0.403,0.453,0,0,0,
Freddie Freeman,15-May,@ SF,4,1,2,2,0,0,0,0,1,0,1,0,0,0.297,0.408,0.455,0,0,0,
Freddie Freeman,16-May,vs CIN,3,0,0,0,0,0,0,0,0,0,0,0,0,0.292,0.402,0.446,0,0,0,
Freddie Freeman,17-May,vs CIN,2,1,0,0,0,0,0,0,2,1,0,0,0,0.288,0.404,0.441,0,0,0,
Freddie Freeman,18-May,vs CIN,3,2,2,3,1,0,0,1,1,0,0,0,0,0.295,0.41,0.451,0,0,0,
Freddie Freeman,19-May,vs CIN,4,1,1,1,0,0,0,0,0,0,1,0,0,0.294,0.407,0.446,0,0,0,
Freddie Freeman,20-May,vs AZ,4,1,2,5,0,0,1,4,0,0,0,0,0,0.298,0.409,0.464,0,0,0,
Freddie Freeman,21-May,vs AZ,4,0,0,0,0,0,0,0,0,0,1,0,0,0.292,0.402,0.454,0,0,0,
Freddie Freeman,22-May,vs AZ,4,0,0,0,0,0,0,0,0,0,2,0,0,0.286,0.395,0.444,0,0,0,
Freddie Freeman,24-May,@ CIN,4,0,1,1,0,0,0,0,0,0,1,0,0,0.285,0.395,0.44,1,0,0,
Freddie Freeman,25-May,@ CIN,4,0,1,2,1,0,0,0,0,0,0,0,0,0.284,0.392,0.442,0,0,0,
Freddie Freeman,26-May,@ CIN,4,0,1,2,1,0,0,1,0,0,0,0,0,0.284,0.39,0.443,0,0,0,
Freddie Freeman,28-May,@ NYM,5,1,3,6,0,0,1,3,0,0,0,0,0,0.291,0.394,0.461,0,0,0,
Freddie Freeman,28-May,@ NYM,3,0,2,3,1,0,0,0,1,0,0,0,0,0.297,0.4,0.469,0,0,0,
Freddie Freeman,29-May,@ NYM,4,0,0,0,0,0,0,0,1,0,2,0,0,0.291,0.396,0.46,0,0,0,
Freddie Freeman,31-May,vs COL,4,0,0,0,0,0,0,0,0,0,1,0,0,0.286,0.39,0.452,0,0,0,
